text,score,magnitude,sentiment
"Obrigado, @claroronaldo @clarobrasil, finalmente eu consegui fazer meu modem funcionar depois de UM ANO usando a @timbrasil.",0.200000003,0.200000003,Positivo
Gente eu aqui passado com a velocidade do 4G do iPhone 5S da #Claro (Perfeito),0.400000006,0.400000006,Positivo
@Gusbelli @claro eu uso e não tenho problemas aqui no Rio.,-0.1000000015,0.1000000015,Positivo
@danicarolp @claro eles estão com um pacotes combos com a @NEToficial que parecem interessantes,0.5,0.5,Positivo
"obrigado…mas poxa… RT @ClaroBlog: Olá, Neto. Pode ficar tranquilo que o acesso será liberado em dezembro. Conte com a gente se precisar.",0.200000003,0.8000000119,Positivo
"A Internet 4G da #Claro é outro nível hein !!!! Luxo, Poder e Glória !!!",0.400000006,0.8000000119,Positivo
"@ClaroBlog Enfim, como vcs já me ajudaram... conto com vcs mais uma vez...",0.1000000015,0.1000000015,Positivo
Confraternização da clarobrasil .Amo muito tudo isso ????????? #confraternizacao #clarobrasil… http://t.co/tvPQLxtdJq,0.200000003,0.6000000238,Positivo
É Claro que é a melhor Equipe !!! ?????????? #clarobrasil #equipeplanet #trabalho #mywork… http://t.co/FsDSkDuwvr,0.200000003,0.5,Positivo
"Equipe Claro @planetcellcg 
Equipe Bombacao !!! ????????????? #clarobrasil #equipeplanet #equipebombacao… http://t.co/Br4rLSsn3D",0.200000003,0.8000000119,Positivo
"demorou, mas enfim a dona @ClaroBrasil resolveu atender minha solicitação...",0,0,Positivo
E viva o #4GMax da #Claro!!! \0/ http://t.co/hWakXeTpNl,0.1000000015,0.400000006,Positivo
como presente de natal a minha 3g está muito rápida obg @vivo,0.8999999762,0.8999999762,Positivo
4G da @ClaroBlog até agora funcionando muito bem.,0.8000000119,0.8000000119,Positivo
@NFumache @ClaroBlog o 3G comigo sempre funciona muito bem também rsrsrs,0.8000000119,0.8000000119,Positivo
Eu faço parte de algo que é capaz de fazer sorrir encantar alegrar e emocionar. Eu faço parte do #Itaucard... http://t.co/SpdIAiPwXS,0.6000000238,1.299999952,Positivo
Mega evento... #itau #mocoto #topteam #sucesso ; ) http://t.co/CjH7HfRI4b,0,0,Positivo
"Não gastei nada para trocar 30 mil pontos do @itaucard por pontos @Multiplus. Já o @kmdevantagens cobra R$ 1.470. Que diferença, hein?",0,1.399999976,Positivo
"Taí, meia hora depois o @itaucard me liga e o problema tá resolvido. Obrigado. =)",0.1000000015,0.400000006,Positivo
"Olha como o ITAÚ é bonzinho comigo, @itaucard http://t.co/WgyGp9NiVD",0.1000000015,0.1000000015,Positivo
Nova campanha saindo. Eu e o @celso_kamura :-) #itaucard #itau #lovemyjob raphaelbn @ casa do meu amigo http://t.co/oELAS7h93S,0.3000000119,0.6000000238,Positivo
#cineart #itaucard paga meia agora. Muito bom http://t.co/uIMWqfinIQ,0.400000006,0.8000000119,Positivo
Muito legal esse projeto do #Itaú Social! http://t.co/d0d2EgRIqO,0.400000006,0.8999999762,Positivo
EU SIGO E INDICO &gt;&gt;&gt;&gt;&gt;@itau @Itaucard SE VOCÊ ME SEGUIR... RSRSRS,0,0.1000000015,Positivo
O comercial da #itau eh sensacional. #diadascrianças,0.1000000015,0.1000000015,Positivo
O #itau investe na leitura das novas gerações através desta linda ação! Parabéns #itau #issomudaomundo http://t.co/BsNkuBJQSf,0.3000000119,0.6000000238,Positivo
leia para uma criança #itau http://t.co/Mv73Idhwvv,0,0,Positivo
#Bradesco e #Itau PARABENS pela responsabilidade social. #EuNoTeleton,0.1000000015,0.3000000119,Positivo
#Itaú e #Bradesco juntos por uma ótima causa.... Louvável,0,0,Positivo
Sempre MUITO bem atendida pela @Itaucard ! Muito obrigada!,0.1000000015,0.8999999762,Positivo
#LeiaParaUmaCriança #IssoMudaOMundo #Itaú http://t.co/wvZ6u8lsN5,0.1000000015,0.1000000015,Positivo
opaa problema solucionado! #ItauCard lindo rsrs 'não mostre o seu #CartãoCrédito a ninguém =),0.6999999881,1.5,Positivo
Chegaram! Obrigada #itau http://t.co/h1Rp2Gn0eZ,0.1000000015,0.200000003,Positivo
@Itaucard obrigado pelo atendimento rápido e pela solução do ocorrido. (Y),0.3000000119,0.6000000238,Positivo
"@Animadissima Bom dia! Em casos relacionados ao cartão peço que entre em contato com o @itaucard, eles irão te ajudar da melhor forma. =)",0.5,1.5,Positivo
Consegui estornar uma compra indevida feita no ML com meu cartão de crédito em 5 minutos! Parabéns Itaucard pela eficiência #itaucard #itau,0,0.3000000119,Positivo
@Itaucard Obrigado por responder tão rápido ;-),0.6999999881,0.6999999881,Positivo
@itau to TÃO feliz que nem sei explicar pra vocês. cc @Itaucard,0.3000000119,0.3000000119,Positivo
"Que demora para o #Santander aprovar um compra online, se fosse #Itaucard era em minutos... #tenso",-0.400000006,0.400000006,Positivo
@itau voce e a @saraivaonline sao os melhores &lt;33333,0,0,Positivo
"Liguei para o pessoal do atendimento do @Itaucard, e em menos de 30min já recebi um email com meu problema solucionado. Parabéns @Itaucard",0.1000000015,0.3000000119,Positivo
Consegui cancelar o cartão de crédito #Itau em menos de 10 minutos. Muito esquisito!,0.400000006,0.8999999762,Positivo
O atendimento do @Itaucard é ótimo! Parabéns. 30 horas também no Twitter,0.200000003,1.200000048,Positivo
A melhor coisa que já fizeram Twitter do #itau ajuda muuuuitoooo !,0.400000006,0.400000006,Positivo
Essa propaganda da copa feita pelo #itau ficou linda. Excelente de verdade.,0.1000000015,1.700000048,Positivo
Puts... o #ITAÚ depravou no Comercial!,-0.200000003,0.200000003,Positivo
O @itau me fez feliz hoje!!! Agilidade na entrega da 2ª via do cartão (2 dias úteis!) =D #itaucard #itaú #IssoMudaOmundo,0.400000006,1.200000048,Positivo
"Bora ser seu próprio chefe, trabalhar com esportes e ganhar 20 mil reais? A #InterU e o @BancoDoBrasil explicam como: http://t.co/ZgbqthSluF",0,0.1000000015,Positivo
"Para Paulo Bernardo, fusão entre PT e Oi é positiva para o Brasil   #pt #oi  http://t.co/e4Z1rBDAz0",0.8000000119,0.8000000119,Positivo
Aff presente maravilhoso da #Oi: o novo BlackBerry Z10! Todo lindo e cheio de funcionalidades! ???? @… http://t.co/5O5leKmdhH,-0.1000000015,1.200000048,Positivo
"TIM CLARO VIVO NEM CHEGA PERTO DA #OI,A #OI TA CLARO NO QUE PROMETE,VIVO QUEM TEM #OI,ATÉ O TIM DIRIA,SOM NA CAIXA,#OI AUAU",-0.5,0.5,Positivo
Ganhei 30 torpedos da @Oi . Vou joga-los todos no @obama,0.1000000015,0.3000000119,Positivo
A #oi lançou dois chips em um que funciona como micro também. Só faltou o nano pra ficar perfeito. http://t.co/5aME3UTG5E,0,0.3000000119,Positivo
Cara que noticia linda.... Naum pude deixar de deixar meu #Oi pra esse cara que tive a oportunidade de… http://t.co/c4ZbsZdMSP,0.6000000238,1.200000048,Positivo
Ta bom @oi https://t.co/WLoRovcGXK,0.400000006,0.400000006,Positivo
@carolina_ana1 @claro da @digaoi é perfeita,0,0,Positivo
@bb essa imagem ficou muito legal. Lindo casal. #rimou http://t.co/xnXaFG73rq,0.5,1.100000024,Positivo
"Urrul! Legal esse site, tweeta automatico e rapidinho!! http://t.co/JlrM7v4E8G #timbeta #rt #socialup #legal #Oi",0.400000006,1.299999952,Positivo
Muito bacana da parte da #Oi - Vários colaboradores compraram os presentes das cartinhas das crianças… http://t.co/g4pZeWkOGB,0.8999999762,0.8999999762,Positivo
Prezada @digaoi. Vocês foram rápidos. Já funciona. Meus agradecimentos.,0.3000000119,1.200000048,Positivo
"Obrigado @LeiSecaRJ ,graças a divulgação do meu caso aqui, a @digaoi tratou meu caso como PRIORIDADE e consegui instalar o fixo hj!",0.3000000119,0.3000000119,Positivo
Atualizei minha agenda em poucos segundos com o App Oi 9º Dígito! Saiba mais: http://t.co/eGOOV7ILC3 #Oi #9digito #iOS #Android,0.3000000119,0.6000000238,Positivo
@digaoi agradecemos a brevidade.,0.1000000015,0.1000000015,Positivo
Valeu @digaoi @digapor ter rezouvido o pobrema da inter net da mãe da Nega Jujú...a véia tava ficano doida...ela é aviciada em vídio pornô.,0,0,Positivo
"Em breve nas melhores lojas do ramo!!!
@sonymusic 
@skybrasil 
@aesfingedoegito 
@PretinhoDaSerra… http://t.co/Ra1A2AmkNM",0.1000000015,0.6000000238,Positivo
Bento é uma paisagem perfeita na minha #SmartTV !!!  #SkyBrasil,0.1000000015,0.3000000119,Positivo
@skybrasil ele na frente sempre. (Vamos querer bonificações pelo merchan. #SkyBrasil) http://t.co/qciJJ8fReO,0.1000000015,0.400000006,Positivo
Priiiincesa liinda *-* #skybrasil #hdtv #sucesso #sky #love #claudialeitte #princesa #tv… http://t.co/6cVfD3E6qC,0.400000006,0.8000000119,Positivo
Photo: Priiiincesa liinda *-* #skybrasil #hdtv #sucesso #sky #love #claudialeitte #princesa #tv... http://t.co/b8CHHjawjA,0.400000006,0.8000000119,Positivo
Menus da Sky atualizados... Ficou top! #skybrasil,0.3000000119,0.8999999762,Positivo
Tenhos Net e Sky já! RT @Chico_PC: @edutrevisan @SKYresponde muda pra @NEToficial quem tem 3 ESPNs EM HD!! + 2 SPORTVs e a FOXSPORTS!,0,0.6000000238,Positivo
@SKYresponde Curti a nova cara da #SkyHDTV Parabens...,0.3000000119,0.3000000119,Positivo
@skybrasil  atualização de ontem fico muito bom novo menu #skybrasil #sky #novasky http://t.co/N1DMBAEm1n,0.8000000119,0.8000000119,Positivo
"muito melhor e bonito o novo guia de programação da @skybrasil! Quando é pra elogiar, vamos elogiar. #SKYbrasil",0.3000000119,1,Positivo
"Amei em estar com o meu time @Skybrasil  vcs são demais todos vcs.
 I love this time that I had… http://t.co/ZfZoTsQNx1",0.6999999881,1.399999976,Positivo
"Achei muito top o novo design da SKY HD (y)

#SkyBrasil #SkyHD #NovoDesign",0.400000006,0.8999999762,Positivo
"Sinal perfeito com chuva forte, mais um mito derrubado!! #Sky #skybrasil #chuva #rain #hdtvéisso #dth… http://t.co/BYnsmtFP4l",0.400000006,0.8000000119,Positivo
Marcela Temer acaba de me ligar e informar que a @skybrasil resolveu o problema lá de casa. Finalmente! Poderei ver o Galo em HD no Mundial!,0.400000006,1.399999976,Positivo
"só de boa assistindo tele cineeee!
só filme boooom!
#skybrasil
#telecine",0.3000000119,1.299999952,Positivo
"Falei com a @SKYresponde num dia, me ligaram no outro e já tem um cara aqui pra instalar. Ótimo atendimento!",0,0.200000003,Positivo
"Urrul! Legal esse site, tweeta automatico e rapidinho!! http://t.co/JlrM7v4E8G #timbeta #rt #socialup #legal #Oi",0.400000006,1.299999952,Positivo
"@jermbebado merece, por ter me proporcionado um plano vantajoso para q eu me comunicasse com meus amigos virtuais. Parabéns @tim",0.3000000119,0.6999999881,Positivo
@jermbebado a @tim eh uma boa compaheiraaaa ngm pode negar,0.1000000015,0.1000000015,Positivo
Ainda bem que o cel. é dual... a #Claro patina e não vai. Salva pela #Tim.,-0.200000003,0.400000006,Positivo
"Adoooooooooro este casal da #vivo ele já era demais agora com ela então, gata, linda e boa atriz http://t.co/ZhD9fgPj0g",0.400000006,0.400000006,Positivo
"que deus te de em dobro, toda a velocidade de internet q vc me deu @vivo",0.5,0.5,Positivo
O atendimento do call center do Alisyon foi sensacional #Vivoemrede,0.6000000238,0.6000000238,Positivo
#KCAArgentina #ComunidadTkm #Vivo @RadioTKM,0.1000000015,0.1000000015,Positivo
Minha Internet Box 4G já voltou de Jaconé !!!! #Adoro #Vivo,0.5,1,Positivo
"#vivo, estou impressionado, hj fui atendido com rapidez pelo Guilherme que estava muito bem informado de tudo... # parabéns #momentosraros",0.8999999762,0.8999999762,Positivo
To na loja da @vivo comprando um BoxVivo. Negócio tá vendendo como água.,0,0.400000006,Positivo
~ Acho ridículo o #BancodoBrasil estar em greve ¬¬,-0.400000006,0.400000006,Negativo
Aproveitando as cornetadas. Fujam do @BancodoBrasil,0,0.1000000015,Negativo
Estressada com esse #BancoDoBrasil,0.6000000238,0.6000000238,Negativo
"Que LIXO o atendimento do @BancodoBrasil fiquei duas vezes por uns 15 ou 20 minutos aguardando atendimento, e NADA. Que lixo hein @BB",-0.6999999881,1.399999976,Negativo
não há coisa q eu odeie mais que banco. o dinheiro é meu e eu nao posso pagar a minha conta pq o @BB acha que é alto o valor..pode?,0.5,0.5,Negativo
E o #bancodobrasil continua sem envelopes p/ depósito. #palhaçada,-0.200000003,0.200000003,Negativo
"Você dá um BACK, o site desloga a sua conta, desliga o seu computador, volta no tempo e mata seus pais. ô louco, @BancodoBrasil",0,0,Negativo
"Chega à redação do @PortalNoArBR notícia de confusão em agência do #BancodoBrasil Clientes revoltados, perdendo a paciência em fila enorme.",-0.1000000015,0.1000000015,Negativo
"Vou trocar de banco, sair do @BancodoBrasil  ir pro @itau ! Ta Osso",0.1000000015,0.3000000119,Negativo
...ter coisa que só se resolve na sua agência. Burocracia pura! #BancodoBrasil #BB #satanas,0,0.1000000015,Negativo
#Partiu #Fila #BancoDoBrasil #WestShopping ;*,0.6000000238,0.6000000238,Negativo
Que preguiça de gente que paga contas em caixas eletrônicos. (at @BancodoBrasil) http://t.co/PZaw3SuL3D,-0.200000003,0.200000003,Negativo
Esse @BancodoBrasil é uma piada. 1 semana pra análise de atualização de ata e nenhuma resposta. #porcaria,0.3000000119,0.3000000119,Negativo
"R$352,00 a menos na minha conta, porém zero de dor de cabeça. #valeuapena #bancodobrasil #adeus",0,0,Negativo
Demora no atendimento do #BancoDoBrasil só pra variar #Fail,-0.8999999762,0.8999999762,Negativo
Ai a impressora para de funcionar .. Hee #BancodoBrasil,-0.1000000015,0.6000000238,Negativo
@BancodoBrasil. Estou há 40min pra pagar duas contas... Isso é um absurdO @BANCODOBRAS1L @LeiSecaRJ @RADARCOSTAVERDE http://t.co/VotWuEzchL,0,0.6000000238,Negativo
odeio o cartão do @bb... sempre da pau na hora de pagar,-0.6000000238,0.6000000238,Negativo
Me sinto frustrada e esgotada depois de passar horas tentando PAGAR meu cartão de credito #bancoDoBrasil,-0.8000000119,0.8000000119,Negativo
A menina do Call Center do #bancoDoBrasil desligou o telefone na minha cara.. #FalaSerio #brasil,0,0.3000000119,Negativo
Alo @BancodoBrasil sei q a situação ta dificil mas fazer 3banners com montagem da mesma foto do Gianecchini é foda ne http://t.co/UPL9jcUGU3,0.5,0.5,Negativo
Talvez chegue um dia em que a coragem dos homens falhará. E conseguiremos acessar o @Bancodobrasil. MAS HOJE NÃO É ESTE DIA! (Tolkien),0.3000000119,1.200000048,Negativo
40 minutos na fila do @bancodobrasil @bb em Cabo Frio http://t.co/QgU5CGGpMy,0,0,Negativo
"E o #BancoDoBrasil continua lindo! Primeiro tiram os caixas rápidos pela cidade afora, e agora nem os… http://t.co/lTuLLC9y44",0.400000006,0.8999999762,Negativo
Banco do Brasil estigmatizando jardineiro como um coitado que não tem conta em banco #BB #Bancodobrasil,-0.400000006,0.400000006,Negativo
"Se você precisar de ligar diretamente para o #BANCODOBRASIL e do #ITAÚ de Casimiro de Abreu, não perca tempo. NINGUÉM ATENDE!",-0.1000000015,0.400000006,Negativo
"Eu sou um irresponsável, o maldito do banco #ibi #bradesco #BANCODOBRASIL bando do brasil é o pior de todos, bom pra todos é o caralho",-0.400000006,0.400000006,Negativo
Gente essa fila do banco é um crime contra minha paciência #BancodoBrasil,-0.3000000119,0.3000000119,Negativo
Só queria agradecer ao #BancodoBrasil por mais uma vez arruinar todo o sistema do meu computador com seu suposto programa de segurança!,0,0,Negativo
"Parabéns, @BancodoBrasil! Estamos completando 1 mês do lançamento do OS X Mavericks e seu internet banking ainda não funciona no Safari.",-0.3000000119,0.8999999762,Negativo
E o @BancodoBrasil que pelo segundo mês seguido suga todo o dinheiro que cai na conta da @vaansfreire sem nenhuma explicação?! Que BELEZA!,0,0.1000000015,Negativo
Aiaiai espera chata. #bancodobrasil #boatarde  #daimepacienciasenhor @ Banco do Brasil http://t.co/iYiwbLFvTJ,0.3000000119,0.3000000119,Negativo
Photo: Aiaiai espera chata. #bancodobrasil #boatarde #daimepacienciasenhor (em Banco do Brasil) http://t.co/cRobwtMitC,0.400000006,0.400000006,Negativo
Meu odeio fila de banco e o #BancodoBrasil não ajuda :/,-0.5,0.5,Negativo
Piada esse banco @BB não dá saldo depois das 22h.,-0.5,0.5,Negativo
Quer desejar um mal a alguém? Mande ela ir resolver alguma coisa no #BancodoBrasil,-0.200000003,0.400000006,Negativo
"Só queria pagar um misero boleto. Só 1. Mas não, tinha q bixar esse app do @BancodoBrasil logo hj.",-0.3000000119,1.100000024,Negativo
O @BancoDoBrasil tb não deixa as pessoas me pagarem + que R$ 500 por dia! Gente do céu.. Q banco é esse?!?!?!?!?! http://t.co/nc8cWHeVIT,0,0.8999999762,Negativo
Aff como eu odeio atendente burra #bancodobrasil,-0.8000000119,0.8000000119,Negativo
"mandei meus dados pro @BancodoBrasil, liguei de novo na agência, e ninguém me passa uma informação. Alguém me recomenda um banco bacana?",0,1.100000024,Negativo
eu só queria usar o #bancodobrasil no #MacBook só isso! :(,-0.8000000119,0.8000000119,Negativo
Tá difícil do @BancoDoBrasil deixar eu mexer no MEU dinheito! http://t.co/mOnwUvt0FR,-0.1000000015,0.400000006,Negativo
Gente: @BancoDoBrasil NÃO deixa vc sacar + q R$ 1.400/ dia ou R$ 12.000/ mês do SEU dinheiro! É meu bco ou minha mãe? http://t.co/2RmK2j3acu,0.1000000015,0.5,Negativo
O @BancoDoBrasil só deixa pagar R$ 1.000 de IPVA. Que carro tem R$ 1.000 de IPVA? Brasília 94?,-0.1000000015,0.400000006,Negativo
"#BancodoBrasil,  incompetência define!",0,0,Negativo
"e se o @bancodobrasil nao resolver, processo DE NOVO.",-0.1000000015,0.1000000015,Negativo
Eu tenho uma pro Santander. #fail RT @andrecarlucci: Ter uma máquina virtual no seu note só pra acessar o #BancoDoBrasil. Isso é 2013.,-0.1000000015,0.6000000238,Negativo
Atenção galera o APP do #BancoDoBrasil #Bb está bugado! Tento acessar minha conta porém acesso outras contas... http://t.co/mmOlGYRuzV,-0.1000000015,1.299999952,Negativo
Alguém pode explicar o que está havendo com o App para smartphone do @BancodoBrasil ? Acessei mais de 5 contas diferentes! #Bb #BbFail,0.1000000015,1,Negativo
